               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081065,            0.036406,            0.021133,             0.69288,             0.11696,             0.11889,            0.049517,            0.067834,            0.028845,            0.015474,            0.003299,            0.003299,            0.070309
                   1,            0.062693,            0.030773,            0.014766,             0.23544,             0.15058,             0.13291,             0.03833,            0.065907,            0.023929,            0.012766,           0.0065666,           0.0065666,            0.040244
                   2,            0.057271,             0.02655,            0.008198,             0.71966,             0.15643,             0.14657,            0.028227,             0.07387,            0.027387,           0.0082098,           0.0097683,           0.0097683,            0.010112
                   3,            0.048176,            0.023977,           0.0041305,             0.67461,             0.53677,             0.64562,             0.25835,             0.04145,            0.019973,           0.0026694,            0.009703,            0.009703,            0.009703
                   4,            0.041741,            0.022259,           0.0030357,             0.78201,             0.59476,             0.68129,             0.31462,            0.035193,            0.020651,           0.0039623,            0.009703,            0.009703,            0.009703
                   5,            0.037654,            0.020952,           0.0022332,             0.86135,             0.69439,             0.80753,             0.38418,            0.033014,            0.020161,           0.0020066,            0.009604,            0.009604,            0.009604
                   6,            0.035139,             0.02012,           0.0022483,               0.872,             0.76401,             0.82192,             0.39587,             0.03391,            0.019294,           0.0019201,            0.009505,            0.009505,            0.009505
                   7,            0.032984,            0.019377,           0.0017806,             0.82927,             0.65761,             0.77697,              0.3679,            0.036454,            0.017611,           0.0019426,            0.009406,            0.009406,            0.009406
                   8,            0.031594,            0.019167,           0.0017712,              0.8966,              0.8301,             0.92161,              0.4969,            0.027734,            0.016705,          0.00090169,            0.009307,            0.009307,            0.009307
                   9,            0.030873,            0.018265,           0.0016399,             0.90353,             0.81406,             0.91043,              0.4956,            0.026791,            0.016536,           0.0018571,            0.009208,            0.009208,            0.009208
                  10,            0.029996,             0.01801,           0.0013994,             0.93062,             0.80204,             0.90994,             0.51903,            0.027539,            0.016542,           0.0011938,            0.009109,            0.009109,            0.009109
                  11,            0.028655,            0.017292,           0.0013128,             0.93341,             0.80624,             0.91385,              0.5485,            0.027439,            0.015534,           0.0012789,             0.00901,             0.00901,             0.00901
                  12,            0.027711,            0.016934,           0.0012651,             0.93426,             0.76478,             0.84655,             0.51014,            0.026877,            0.016237,           0.0014825,            0.008911,            0.008911,            0.008911
                  13,            0.027349,            0.016783,            0.001234,             0.89492,             0.82256,             0.91209,             0.55299,            0.025517,            0.015253,           0.0010229,            0.008812,            0.008812,            0.008812
                  14,            0.027305,            0.016647,           0.0011131,             0.83467,             0.88273,             0.92838,             0.55072,            0.026195,            0.014766,          0.00080892,            0.008713,            0.008713,            0.008713
                  15,            0.026043,            0.016298,           0.0011645,             0.87343,             0.92053,             0.95185,             0.60681,            0.022698,             0.01489,           0.0013732,            0.008614,            0.008614,            0.008614
                  16,            0.025601,            0.016123,           0.0010193,             0.97132,             0.90149,             0.97089,             0.63932,            0.022849,            0.013765,          0.00085355,            0.008515,            0.008515,            0.008515
                  17,            0.024738,            0.015428,           0.0009175,             0.95182,             0.82198,             0.93569,             0.59275,            0.022127,             0.01415,           0.0011102,            0.008416,            0.008416,            0.008416
                  18,            0.024909,            0.015816,          0.00091048,             0.98098,               0.903,             0.97072,             0.64889,             0.02155,            0.013576,          0.00046709,            0.008317,            0.008317,            0.008317
                  19,             0.02454,            0.015195,          0.00090574,             0.96601,             0.94323,             0.97956,             0.65962,            0.021012,             0.01376,          0.00063662,            0.008218,            0.008218,            0.008218
                  20,            0.023995,            0.015024,           0.0010761,             0.96899,             0.89587,             0.95586,             0.65508,            0.021505,            0.013788,          0.00073995,            0.008119,            0.008119,            0.008119
                  21,            0.023365,            0.015088,          0.00076196,              0.9511,             0.92568,             0.96841,             0.62571,            0.022918,            0.014148,          0.00051113,             0.00802,             0.00802,             0.00802
                  22,            0.023323,            0.014649,           0.0008273,             0.91141,             0.92236,             0.96019,             0.65281,            0.020584,            0.013635,          0.00055616,            0.007921,            0.007921,            0.007921
                  23,            0.023163,            0.014553,           0.0008654,             0.91195,             0.92967,             0.95349,             0.63585,            0.021192,            0.013504,          0.00045112,            0.007822,            0.007822,            0.007822
