               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017405,            0.011387,          0.00051099,             0.96727,             0.97545,             0.99012,             0.74513,            0.016997,             0.01159,          0.00030213,            0.006535,            0.006535,            0.006535
                  37,            0.017158,            0.010971,          0.00051805,             0.96848,             0.98205,             0.98911,             0.75545,            0.016395,            0.011488,          0.00042479,            0.006436,            0.006436,            0.006436
                  38,            0.016927,            0.010909,          0.00048393,             0.97751,             0.97474,             0.98952,             0.75866,            0.016637,             0.01109,          0.00026592,            0.006337,            0.006337,            0.006337
                  39,            0.016839,            0.010826,           0.0004413,             0.96441,             0.97767,             0.97651,             0.77434,            0.015473,             0.01102,          0.00039496,            0.006238,            0.006238,            0.006238
                  40,            0.016577,            0.010751,          0.00059861,             0.95707,             0.95533,             0.98485,             0.75823,            0.016418,            0.011251,          0.00031094,            0.006139,            0.006139,            0.006139
                  41,            0.016599,            0.010874,          0.00056156,             0.95943,             0.97763,             0.98178,              0.7535,            0.016415,            0.010611,          0.00053135,             0.00604,             0.00604,             0.00604
                  42,            0.015963,            0.010647,          0.00036965,             0.98609,             0.95607,              0.9886,             0.75917,            0.015686,            0.010504,          0.00028618,            0.005941,            0.005941,            0.005941
                  43,            0.016219,            0.010536,          0.00045311,             0.98937,              0.9777,              0.9857,             0.76076,            0.015972,            0.010553,          0.00040739,            0.005842,            0.005842,            0.005842
                  44,            0.015853,            0.010705,          0.00043722,             0.94462,             0.98189,             0.98903,             0.75758,            0.015613,            0.010413,          0.00033233,            0.005743,            0.005743,            0.005743
                  45,            0.015788,            0.010382,          0.00039806,             0.97723,             0.96989,             0.99091,             0.77731,            0.015586,            0.010117,          0.00025113,            0.005644,            0.005644,            0.005644
                  46,            0.015658,            0.010306,          0.00038241,             0.98293,             0.96258,             0.99162,             0.77152,            0.014999,            0.010042,          0.00028321,            0.005545,            0.005545,            0.005545
                  47,            0.015382,            0.010179,          0.00041613,             0.98581,             0.94674,             0.98212,              0.7703,            0.015201,            0.010553,          0.00032115,            0.005446,            0.005446,            0.005446
                  48,            0.015343,            0.010077,          0.00042935,             0.98421,             0.95382,             0.99004,             0.75511,            0.014942,            0.010659,          0.00027826,            0.005347,            0.005347,            0.005347
                  49,            0.015276,            0.010225,          0.00043429,             0.93809,             0.99094,             0.98738,             0.76963,              0.0147,            0.010678,          0.00040171,            0.005248,            0.005248,            0.005248
                  50,            0.015079,           0.0099673,          0.00041043,             0.97062,             0.97133,             0.99054,             0.78101,            0.014638,            0.010698,           0.0003539,            0.005149,            0.005149,            0.005149
                  51,            0.015028,           0.0099747,          0.00037703,             0.94339,             0.99548,             0.99017,             0.76209,            0.015365,            0.010395,          0.00027667,             0.00505,             0.00505,             0.00505
                  52,            0.014956,            0.010244,          0.00034718,             0.96987,             0.97138,             0.98719,             0.78235,            0.014683,           0.0099429,          0.00026961,            0.004951,            0.004951,            0.004951
                  53,            0.014808,           0.0097177,          0.00033396,             0.95398,              0.9657,               0.984,              0.7941,            0.014517,            0.010041,          0.00042261,            0.004852,            0.004852,            0.004852
                  54,            0.014554,            0.009762,          0.00032192,             0.95053,             0.98491,             0.98378,             0.79394,            0.014688,           0.0099884,          0.00025704,            0.004753,            0.004753,            0.004753
                  55,            0.014462,           0.0096973,          0.00026271,             0.99256,             0.96272,             0.99173,             0.78633,            0.014606,            0.010418,          0.00020376,            0.004654,            0.004654,            0.004654
                  56,            0.014291,           0.0095941,           0.0003039,             0.96162,             0.99561,             0.99159,             0.79229,            0.014505,            0.010251,           0.0001891,            0.004555,            0.004555,            0.004555
                  57,            0.014201,           0.0096025,          0.00032556,             0.99548,             0.97334,             0.99186,             0.78339,            0.014949,            0.010436,          0.00024203,            0.004456,            0.004456,            0.004456
                  58,             0.01419,           0.0096523,          0.00031998,             0.96824,             0.95817,             0.98906,             0.77845,            0.014929,            0.009926,          0.00020807,            0.004357,            0.004357,            0.004357
                  59,            0.014022,           0.0096318,          0.00031726,             0.96942,             0.97763,             0.99124,             0.78555,            0.014503,            0.010107,          0.00022482,            0.004258,            0.004258,            0.004258
                  60,            0.013766,           0.0095394,           0.0002613,             0.97129,             0.99258,             0.99271,             0.77776,            0.014279,              0.0104,          0.00019204,            0.004159,            0.004159,            0.004159
                  61,            0.013541,           0.0092717,          0.00022485,             0.95289,             0.99534,             0.99115,             0.78621,            0.014224,            0.010196,          0.00017255,             0.00406,             0.00406,             0.00406
                  62,            0.013634,           0.0092391,          0.00024958,             0.95548,             0.99708,               0.991,             0.79069,            0.014553,            0.010007,          0.00021241,            0.003961,            0.003961,            0.003961
                  63,            0.013498,           0.0092478,          0.00028601,             0.99684,             0.95821,             0.99253,             0.78187,            0.014134,             0.01022,          0.00021832,            0.003862,            0.003862,            0.003862
                  64,            0.012996,           0.0090888,          0.00023856,             0.96649,             0.98973,             0.99004,             0.79971,            0.013759,            0.010416,          0.00017511,            0.003763,            0.003763,            0.003763
                  65,            0.012957,           0.0090701,          0.00021125,             0.96474,             0.99269,             0.99206,             0.78547,            0.014111,            0.010302,          0.00021089,            0.003664,            0.003664,            0.003664
                  66,            0.013026,           0.0090023,          0.00023624,             0.99252,              0.9606,             0.99202,             0.79442,            0.013605,            0.010112,           0.0001911,            0.003565,            0.003565,            0.003565
                  67,            0.012837,           0.0090506,          0.00023056,             0.96749,             0.97913,             0.99137,             0.79092,            0.013824,             0.01006,          0.00015008,            0.003466,            0.003466,            0.003466
                  68,            0.012784,           0.0087671,          0.00022631,             0.96241,             0.99559,              0.9913,             0.79947,            0.013495,            0.009896,          0.00019825,            0.003367,            0.003367,            0.003367
                  69,            0.012633,           0.0088254,          0.00024622,             0.98515,             0.98498,             0.99106,             0.81484,            0.013393,           0.0098838,          0.00016193,            0.003268,            0.003268,            0.003268
                  70,            0.012503,           0.0087794,          0.00022858,             0.95874,             0.98498,             0.99128,             0.79989,            0.013333,             0.01003,          0.00015168,            0.003169,            0.003169,            0.003169
                  71,            0.012367,           0.0087446,          0.00024606,             0.97867,             0.98204,             0.99156,             0.79651,            0.013776,            0.010273,          0.00016313,             0.00307,             0.00307,             0.00307
                  72,            0.012211,           0.0087609,          0.00021737,             0.94868,             0.99353,             0.98954,             0.79001,            0.013647,            0.010388,          0.00023295,            0.002971,            0.002971,            0.002971
                  73,            0.011961,           0.0086169,          0.00022837,             0.95834,             0.99103,             0.98988,             0.80384,            0.013535,            0.009963,          0.00021076,            0.002872,            0.002872,            0.002872
                  74,            0.012091,           0.0085521,          0.00017501,             0.97497,             0.99369,             0.99262,             0.80405,             0.01352,           0.0098942,          0.00012294,            0.002773,            0.002773,            0.002773
                  75,            0.011924,           0.0084176,          0.00016076,             0.97702,             0.97619,             0.99153,             0.80987,            0.013616,           0.0099386,          0.00013186,            0.002674,            0.002674,            0.002674
                  76,            0.011848,           0.0084818,          0.00019036,             0.96523,             0.99845,             0.99153,             0.80598,            0.013421,            0.010258,          0.00016382,            0.002575,            0.002575,            0.002575
                  77,            0.011642,           0.0082953,          0.00016725,              0.9588,             0.98644,             0.98122,             0.80788,            0.013299,            0.009573,          0.00011477,            0.002476,            0.002476,            0.002476
                  78,            0.011554,           0.0083387,          0.00021996,             0.96657,             0.99334,             0.98945,              0.7992,            0.013008,           0.0099458,          0.00010344,            0.002377,            0.002377,            0.002377
                  79,             0.01138,           0.0083025,          0.00020207,             0.98063,             0.98312,             0.99241,             0.81142,            0.013041,           0.0096095,          0.00013127,            0.002278,            0.002278,            0.002278
                  80,             0.01137,           0.0082786,           0.0001843,             0.95896,             0.99708,             0.99095,             0.80307,            0.012877,           0.0093992,          0.00013941,            0.002179,            0.002179,            0.002179
                  81,            0.011099,           0.0082043,          0.00014884,             0.95479,              0.9985,             0.98821,              0.8079,            0.013133,           0.0099043,          0.00014569,             0.00208,             0.00208,             0.00208
                  82,            0.011302,           0.0081115,          0.00015656,             0.94456,             0.99854,             0.99013,             0.80712,             0.01307,           0.0097038,          0.00013221,            0.001981,            0.001981,            0.001981
                  83,            0.011129,           0.0080615,          0.00017743,             0.96061,             0.98603,             0.99089,             0.80303,            0.013096,           0.0096467,          0.00016046,            0.001882,            0.001882,            0.001882
                  84,            0.010936,            0.008024,          0.00012638,             0.95933,             0.98785,             0.98919,             0.79509,            0.013123,           0.0097278,          0.00014517,            0.001783,            0.001783,            0.001783
                  85,            0.010977,           0.0080769,           0.0001756,             0.95707,             0.99739,              0.9913,             0.80767,            0.012986,           0.0096595,          0.00013582,            0.001684,            0.001684,            0.001684
                  86,             0.01068,           0.0078975,          0.00014539,               0.958,              0.9956,             0.98997,             0.81601,            0.012684,           0.0093904,           0.0001317,            0.001585,            0.001585,            0.001585
